FIPS #,Year,Rate
001,1989,20.5
001,1993,20.8
001,1995,20.1
001,1996,
001,1997,20.4
001,1998,18.6
001,1999,17.9
001,2000,20.5
001,2001,21.5
001,2002,22.7
001,2003,20.1
001,2004,21
001,2005,22
001,2006,19.3
001,2007,18.9
001,2008,21.2
001,2009,24.3
001,2010,20.9
001,2011,23.3
001,2012,22.5
001,2013,22.4
001,2014,20.4
001,2015,21
003,1989,12.6
003,1993,16.4
003,1995,16.2
003,1996,
003,1997,15.8
003,1998,15.2
003,1999,16.2
003,2000,14.9
003,2001,13.6
003,2002,13.5
003,2003,15
003,2004,14.8
003,2005,15.9
003,2006,14.7
003,2007,15.3
003,2008,13.4
003,2009,12.5
003,2010,13.5
003,2011,13.3
003,2012,11.3
003,2013,11.4
003,2014,10.7
003,2015,10.4
005,1989,16.6
005,1993,18.5
005,1995,17.6
005,1996,
005,1997,17.3
005,1998,16.7
005,1999,16.2
005,2000,16.3
005,2001,16.9
005,2002,17
005,2003,17.3
005,2004,17.3
005,2005,19.9
005,2006,15.4
005,2007,19.3
005,2008,20.1
005,2009,17
005,2010,19
005,2011,19.1
005,2012,20.8
005,2013,21.5
005,2014,17.9
005,2015,17.9
007,1989,22.5
007,1993,22.4
007,1995,22.2
007,1996,
007,1997,22.7
007,1998,20.6
007,1999,20.1
007,2000,20.6
007,2001,20.6
007,2002,19.8
007,2003,18.6
007,2004,18.9
007,2005,20.6
007,2006,21.2
007,2007,18.2
007,2008,19.3
007,2009,19.2
007,2010,22.3
007,2011,21.3
007,2012,19.6
007,2013,20.7
007,2014,17.5
007,2015,18.2
009,1989,8.8
009,1993,11.1
009,1995,10.2
009,1996,
009,1997,9.3
009,1998,10.2
009,1999,10.2
009,2000,10
009,2001,9.7
009,2002,8.7
009,2003,9.2
009,2004,9.7
009,2005,9.7
009,2006,8.9
009,2007,8.1
009,2008,8.5
009,2009,10.7
009,2010,11.1
009,2011,11.8
009,2012,9.4
009,2013,10.1
009,2014,9.4
009,2015,9.5
011,1989,8.7
011,1993,10.1
011,1995,9.7
011,1996,
011,1997,11.2
011,1998,10.6
011,1999,11.5
011,2000,12.2
011,2001,11.1
011,2002,10.8
011,2003,9.9
011,2004,9.7
011,2005,11
011,2006,11.3
011,2007,9.5
011,2008,10
011,2009,10.2
011,2010,8.8
011,2011,10.6
011,2012,11
011,2013,11
011,2014,11
011,2015,10.4
013,1989,25.8
013,1993,25.3
013,1995,25.2
013,1996,
013,1997,23
013,1998,22.2
013,1999,20.6
013,2000,19.1
013,2001,18.8
013,2002,18.6
013,2003,18.9
013,2004,18.9
013,2005,22.1
013,2006,19.7
013,2007,18.1
013,2008,18.2
013,2009,18.5
013,2010,20.4
013,2011,21.8
013,2012,17.8
013,2013,17.8
013,2014,16.9
013,2015,20.4
015,1989,14
015,1993,14.6
015,1995,14.1
015,1996,
015,1997,13.1
015,1998,11.7
015,1999,11.5
015,2000,10.7
015,2001,10.6
015,2002,10.1
015,2003,11.3
015,2004,11.2
015,2005,11.9
015,2006,11.5
015,2007,10.9
015,2008,10.6
015,2009,11
015,2010,12.5
015,2011,13
015,2012,11.8
015,2013,13.6
015,2014,11.2
015,2015,12.7
017,1989,22.8
017,1993,23.2
017,1995,24.8
017,1996,
017,1997,24.2
017,1998,23.2
017,1999,20.3
017,2000,19.7
017,2001,19.7
017,2002,18.4
017,2003,17.8
017,2004,17.6
017,2005,18.5
017,2006,18.9
017,2007,19.8
017,2008,17.4
017,2009,17.9
017,2010,18.8
017,2011,17.9
017,2012,17.5
017,2013,19.9
017,2014,19.9
017,2015,15.8
019,1989,11.9
019,1993,12.3
019,1995,12.2
019,1996,
019,1997,13
019,1998,12.5
019,1999,12.9
019,2000,13.3
019,2001,13.6
019,2002,13.8
019,2003,12.5
019,2004,12.3
019,2005,12.3
019,2006,13.2
019,2007,13.4
019,2008,13.2
019,2009,14.2
019,2010,16.5
019,2011,12.3
019,2012,13.9
019,2013,16.2
019,2014,13.5
019,2015,13.3
021,1989,17.7
021,1993,16.5
021,1995,14.7
021,1996,
021,1997,13.9
021,1998,13
021,1999,12.3
021,2000,11.9
021,2001,12.3
021,2002,12.3
021,2003,12.6
021,2004,12.7
021,2005,11.7
021,2006,11.7
021,2007,12.6
021,2008,13
021,2009,14.6
021,2010,15.5
021,2011,14.6
021,2012,14.3
021,2013,18.7
021,2014,14.7
021,2015,12.7
023,1989,18.5
023,1993,19.7
023,1995,21.4
023,1996,
023,1997,20.6
023,1998,20.5
023,1999,18.1
023,2000,18.3
023,2001,19
023,2002,17.7
023,2003,16.8
023,2004,17.2
023,2005,18.8
023,2006,18.1
023,2007,18.1
023,2008,18
023,2009,18.9
023,2010,19.3
023,2011,19.6
023,2012,19.5
023,2013,19.5
023,2014,18.3
023,2015,17.4
025,1989,26.6
025,1993,28.2
025,1995,28.2
025,1996,
025,1997,26.5
025,1998,24.1
025,1999,24.6
025,2000,28.2
025,2001,29.4
025,2002,28.7
025,2003,24.7
025,2004,24.9
025,2005,29.1
025,2006,27.7
025,2007,22.5
025,2008,28.9
025,2009,28.6
025,2010,27.3
025,2011,29.6
025,2012,27.6
025,2013,25.1
025,2014,24.9
025,2015,23.4
027,1989,14.2
027,1993,15.8
027,1995,14.6
027,1996,
027,1997,14.7
027,1998,14.5
027,1999,14
027,2000,12.4
027,2001,12.6
027,2002,12.4
027,2003,14.7
027,2004,13.2
027,2005,13.5
027,2006,12.9
027,2007,13.6
027,2008,13.4
027,2009,15.3
027,2010,13.2
027,2011,15.8
027,2012,14.4
027,2013,15.1
027,2014,14.2
027,2015,15.9
029,1989,21.6
029,1993,22.7
029,1995,19.4
029,1996,
029,1997,18.5
029,1998,17.8
029,1999,16.7
029,2000,15.7
029,2001,15.9
029,2002,16.5
029,2003,17.6
029,2004,17.3
029,2005,17.1
029,2006,16.6
029,2007,16.4
029,2008,17.1
029,2009,17.7
029,2010,17
029,2011,17.9
029,2012,19.1
029,2013,17.4
029,2014,18.3
029,2015,15.6
031,1989,11.9
031,1993,12.4
031,1995,11.7
031,1996,
031,1997,9.1
031,1998,9.1
031,1999,11.2
031,2000,9.7
031,2001,11.1
031,2002,10.2
031,2003,10.6
031,2004,10.3
031,2005,10.1
031,2006,12.5
031,2007,10.6
031,2008,10.6
031,2009,12.2
031,2010,12.7
031,2011,11.5
031,2012,12.7
031,2013,12.7
031,2014,12
031,2015,10.9
033,1989,12.2
033,1993,6.8
033,1995,6.4
033,1996,
033,1997,11.7
033,1998,11.5
033,1999,10.5
033,2000,10
033,2001,9.1
033,2002,9.5
033,2003,6.9
033,2004,6.3
033,2005,8.8
033,2006,9.6
033,2007,8
033,2008,9
033,2009,11.3
033,2010,11.9
033,2011,11.8
033,2012,8.8
033,2013,10.5
033,2014,10.3
033,2015,10.2
035,1989,14.4
035,1993,17.2
035,1995,16.6
035,1996,
035,1997,16.2
035,1998,14.9
035,1999,13.9
035,2000,14.3
035,2001,15
035,2002,14.7
035,2003,14.3
035,2004,13.8
035,2005,15.4
035,2006,15.2
035,2007,19.6
035,2008,13.9
035,2009,14.5
035,2010,17.5
035,2011,16.8
035,2012,16.4
035,2013,17
035,2014,15
035,2015,15
037,1989,16.6
037,1993,17.7
037,1995,16.7
037,1996,
037,1997,16.9
037,1998,16.7
037,1999,16.7
037,2000,17
037,2001,17.2
037,2002,17.3
037,2003,17.6
037,2004,17.4
037,2005,18.6
037,2006,17
037,2007,17.9
037,2008,19.3
037,2009,19.8
037,2010,18.7
037,2011,19.1
037,2012,20.3
037,2013,21.4
037,2014,20.1
037,2015,18.6
039,1989,9.9
039,1993,12.3
039,1995,11.6
039,1996,
039,1997,11
039,1998,10.3
039,1999,10.5
039,2000,10.3
039,2001,10.5
039,2002,10.5
039,2003,11.5
039,2004,10.9
039,2005,11.8
039,2006,12.1
039,2007,9.8
039,2008,9.6
039,2009,10
039,2010,12.1
039,2011,12.1
039,2012,11.7
039,2013,11.8
039,2014,9.9
039,2015,10.6
041,1989,19
041,1993,19.9
041,1995,19.3
041,1996,
041,1997,18
041,1998,16.3
041,1999,16.5
041,2000,17.6
041,2001,18.4
041,2002,18.6
041,2003,19
041,2004,19
041,2005,29.1
041,2006,27
041,2007,26.2
041,2008,25.2
041,2009,29.8
041,2010,30.8
041,2011,29
041,2012,27.2
041,2013,27.6
041,2014,26.4
041,2015,24
043,1989,23.2
043,1993,21.8
043,1995,22.3
043,1996,
043,1997,22.7
043,1998,20.4
043,1999,18.8
043,2000,19.7
043,2001,19.8
043,2002,18.7
043,2003,17.5
043,2004,16.9
043,2005,18.2
043,2006,19.5
043,2007,17.3
043,2008,17.1
043,2009,17.3
043,2010,14.7
043,2011,16.6
043,2012,15.1
043,2013,14.9
043,2014,13.8
043,2015,14.8
045,1989,25.6
045,1993,20.7
045,1995,24
045,1996,
045,1997,23.1
045,1998,21.5
045,1999,18.5
045,2000,19
045,2001,19.4
045,2002,16.5
045,2003,15.6
045,2004,14.6
045,2005,18.9
045,2006,16.4
045,2007,15.5
045,2008,15.3
045,2009,15.2
045,2010,16.4
045,2011,16.3
045,2012,16.3
045,2013,17.4
045,2014,16.7
045,2015,16.6
047,1989,40.3
047,1993,38.2
047,1995,39.9
047,1996,
047,1997,38.4
047,1998,35.4
047,1999,35.9
047,2000,36
047,2001,32.2
047,2002,31.2
047,2003,29.7
047,2004,28.8
047,2005,35.6
047,2006,35.1
047,2007,30.2
047,2008,32.8
047,2009,33
047,2010,33
047,2011,35.4
047,2012,32.1
047,2013,31.9
047,2014,32.4
047,2015,31.7
049,1989,18.1
049,1993,19.4
049,1995,19.4
049,1996,
049,1997,19.5
049,1998,18.6
049,1999,17.9
049,2000,18.3
049,2001,18.6
049,2002,18.3
049,2003,18.1
049,2004,18
049,2005,20.3
049,2006,19.5
049,2007,18.9
049,2008,17.2
049,2009,17.9
049,2010,18.8
049,2011,20.4
049,2012,18.9
049,2013,18.6
049,2014,17.5
049,2015,18.2
051,1989,18.7
051,1993,18.6
051,1995,18.6
051,1996,
051,1997,16.6
051,1998,16.2
051,1999,15.4
051,2000,15.2
051,2001,15.2
051,2002,14.6
051,2003,15.5
051,2004,15.4
051,2005,19.1
051,2006,18.7
051,2007,15.6
051,2008,15.5
051,2009,15.6
051,2010,15.2
051,2011,18.3
051,2012,16
051,2013,17.5
051,2014,16.2
051,2015,15.5
053,1989,15.1
053,1993,16.9
053,1995,15.4
053,1996,
053,1997,13
053,1998,11.8
053,1999,11.9
053,2000,11.6
053,2001,12.5
053,2002,12.6
